Value	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	1
7	1
8	1
9	1
10	6
11	0
12	0
13	4
14	0
15	0
16	0
17	0
18	0
19	0
20	7
21	0
22	0
23	0
24	1
25	3
26	0
27	3
28	0
29	0
30	0
31	0
32	0
33	0
34	7
35	0
36	0
37	0
38	0
39	0
40	0
41	7
42	0
43	0
44	0
45	0
46	0
47	0
48	7
49	0
50	0
51	0
52	0
53	0
54	0
55	7
56	0
57	0
58	0
59	0
60	0
61	0
62	7
63	0
64	0
65	0
66	0
67	0
68	0
69	6
70	1
71	0
72	0
73	1
74	0
75	0
76	1
77	0
78	1
79	6
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	12
91	0
92	0
93	0
94	0
95	0
96	0
97	7
98	0
99	0
100 samples detected
0	77
1	9
2	0
3	2
4	1
5	0
6	3
7	7
8	0
9	0
10	0
11	0
12	1
