Sorting 134217728 values
Rows: Parallel sorting threshold fraction
Columns: Parallel partitioning threshold fraction
	1	2	4	8	16	MLim	HLim
1	14.94	-	-	-	-	1.8675	0.93375
2	14.38	15.00	-	-	-	1.8675	0.93375
4	6.79	6.84	7.81	-	-	1.8675	0.93375
8	5.16	6.11	5.64	6.97	-	1.8675	0.93375
16	3.99	4.61	4.78	5.87	6.17	1.8675	0.93375
32	3.13	3.95	4.04	5.08	5.87	1.8675	0.93375
64	2.85	3.91	3.74	4.40	6.53	1.8675	0.93375
128	2.71	3.65	3.88	4.49	5.66	1.8675	0.93375
256	2.73	3.44	3.93	4.35	4.79	1.8675	0.93375
512	2.74	3.44	3.99	5.11	5.13	1.8675	0.93375
1024	2.79	3.63	3.79	4.56	5.13	1.8675	0.93375
2048	2.85	3.67	4.04	4.67	5.48	1.8675	0.93375
4096	2.96	3.77	4.16	4.70	5.29	1.8675	0.93375
8192	3.10	3.85	4.40	5.45	5.70	1.8675	0.93375
16384	3.65	4.41	4.90	5.31	6.15	1.8675	0.93375
