Machine: makoshark
Sorting 134217728 values
Rows: Parallel sorting threshold fraction
Columns: Parallel partitioning threshold fraction
	1	2	4	8	16	MLim	HLim
1	21.96	-	-	-	-	2.745	1.3725
2	21.71	22.02	-	-	-	2.745	1.3725
4	10.69	8.48	10.16	-	-	2.745	1.3725
8	8.09	9.66	9.15	7.22	-	2.745	1.3725
16	6.43	6.40	5.77	7.72	6.56	2.745	1.3725
32	4.47	4.70	4.77	4.86	7.17	2.745	1.3725
64	4.55	4.45	5.01	5.43	6.07	2.745	1.3725
128	4.18	4.62	4.70	5.47	5.66	2.745	1.3725
256	4.21	4.54	5.38	5.69	4.93	2.745	1.3725
512	3.99	4.55	4.77	5.02	5.62	2.745	1.3725
1024	4.09	4.90	4.46	5.47	4.76	2.745	1.3725
2048	4.58	4.58	4.86	5.48	5.19	2.745	1.3725
4096	4.62	4.55	4.56	5.45	5.03	2.745	1.3725
8192	4.69	4.57	5.02	5.60	5.80	2.745	1.3725
16384	5.48	5.99	5.50	6.35	6.66	2.745	1.3725
