Sorting 134217728 values
Rows: Parallel sorting threshold fraction
Columns: Parallel partitioning threshold fraction
	 1	2	4	8	16	MLim	HLim
1	21.41	-	-	-	-	2.67625	1.338125
2	20.56	13.80	-	-	-	2.67625	1.338125
4	9.72	9.39	8.83	-	-	2.67625	1.338125
8	7.09	7.40	7.73	11.69	-	2.67625	1.338125
16	5.36	5.43	4.61	6.48	6.03	2.67625	1.338125
32	3.73	4.30	4.48	4.46	4.96	2.67625	1.338125
64	3.45	3.61	3.70	4.21	4.33	2.67625	1.338125
128	3.18	3.55	3.88	3.77	5.06	2.67625	1.338125
256	3.16	3.49	3.47	3.95	4.20	2.67625	1.338125
512	3.15	3.46	3.39	4.90	5.19	2.67625	1.338125
1024	3.18	3.45	3.66	3.76	4.85	2.67625	1.338125
2048	3.33	3.69	3.62	4.01	5.03	2.67625	1.338125
4096	3.63	4.02	4.12	4.11	4.59	2.67625	1.338125
8192	4.44	4.83	4.94	5.27	5.47	2.67625	1.338125
16384	5.92	6.28	6.68	6.52	7.47	2.67625	1.338125
