Sorting 134217728 values
Rows: Parallel sorting threshold fraction
Columns: Parallel partitioning threshold fraction
	1	2	4	8	16	MLim	HLim
1	14.94	-	-	-	-	2.529	1.245
2	14.38	15.00	-	-	-	2.529	1.245
4	6.79	6.84	7.81	-	-	2.529	1.245
8	5.16	6.11	5.64	6.97	-	2.529	1.245
16	3.99	4.61	4.78	5.87	6.17	2.529	1.245
32	3.13	3.95	4.04	5.08	5.87	2.529	1.245
64	2.85	3.91	3.74	4.40	6.53	2.529	1.245
128	2.71	3.65	3.88	4.49	5.66	2.529	1.245
256	2.73	3.44	3.93	4.35	4.79	2.529	1.245
512	2.74	3.44	3.99	5.11	5.13	2.529	1.245
1024	2.79	3.63	3.79	4.56	5.13	2.529	1.245
2048	2.85	3.67	4.04	4.67	5.48	2.529	1.245
4096	2.96	3.77	4.16	4.70	5.29	2.529	1.245
8192	3.10	3.85	4.40	5.45	5.70	2.529	1.245
16384	3.65	4.41	4.90	5.31	6.15	2.529	1.245
